17.07.2014 21:06:19 [main] DEBUG by.snitovets.busstops.entity.Bus  - good 1
17.07.2014 21:06:19 [main] DEBUG by.snitovets.busstops.entity.Bus  - good 1
17.07.2014 21:06:19 [main] DEBUG by.snitovets.busstops.entity.Bus  - good 1
17.07.2014 21:06:19 [main] DEBUG by.snitovets.busstops.entity.Bus  - good 1
17.07.2014 21:06:19 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 going to bus stop (239ms)
17.07.2014 21:06:19 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 going to bus stop (668ms)
17.07.2014 21:06:19 [main] DEBUG by.snitovets.busstops.entity.Bus  - good 1
17.07.2014 21:06:19 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 going to bus stop (429ms)
17.07.2014 21:06:19 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (611ms)
17.07.2014 21:06:19 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 going to bus stop (74ms)
17.07.2014 21:06:20 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 0
17.07.2014 21:06:20 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (110)
17.07.2014 21:06:20 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 0
17.07.2014 21:06:20 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (287ms)
17.07.2014 21:06:20 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 1
17.07.2014 21:06:20 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (329)
17.07.2014 21:06:21 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 1
17.07.2014 21:06:21 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (207ms)
17.07.2014 21:06:21 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 2
17.07.2014 21:06:21 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (983)
17.07.2014 21:06:22 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 2
17.07.2014 21:06:22 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (290ms)
17.07.2014 21:06:22 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 3
17.07.2014 21:06:22 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (53)
